year	path	admitted
108	uac	34633
108	tech	28804
108	star	14550
108	apply	51517
108	tech_select	36364
109	uac	33521
109	tech	23169
109	star	14840
109	apply	52322
109	tech_select	33503
110	uac	33869
110	tech	22616
110	star	15147
110	apply	50767
110	tech_select	32415
111	uac	25028
111	tech	18140
111	star	15260
111	apply	46875
111	tech_select	29569
112	uac	36338
112	tech	19481
112	star	14658
112	apply	38953
112	tech_select	25375
113	uac	35076
113	tech	17513
113	star	14260
113	apply	41133
113	tech_select	25482
114	uac	32497
114	tech	16229
114	star	14543
114	apply	44025
114	tech_select	24426
