chinese	english
不分系學士班	Bachelor's degree courses regardless of department
不動產經營學系	Department of Real Estate Management
不動產經營學系【外加】	Department of Real Estate Management【Additional】
不動產與城鄉環境學系	Department of Real Estate and Urban and Rural Environment
不動產與城鄉環境學系【外加】	Department of Real Estate and Urban and Rural Environment [Additional]
不動產財務金融學士學位學程	Bachelor's Degree in Real Estate Finance
世新大學	Shih Hsin University
中信科技大學	CITIC University
中原大學	Chung Yuan University
中國戲劇學系	Department of Chinese Drama
中國文化大學	Chinese Culture University
中國文學學系	Department of Chinese Literature
中國文學系	Department of Chinese Literature
中國文學系【外加】	Department of Chinese Literature【Additional】
中國文學系中國文學組	Chinese Literature Section, Department of Chinese Literature
中國文學系乙組(華語教學組)	Department of Chinese Literature Group B (Chinese Language Teaching Group)
中國文學系乙組(華語文教學組)	Department of Chinese Literature Group B (Chinese Language Teaching Group)
中國文學系文藝創作組	Literary Creation Group, Department of Chinese Literature
中國文學系甲組(一般組)	Department of Chinese Literature Group A (General Group)
中國文學與應用學系	Department of Chinese Literature and Applied Studies
中國科技大學	University of Science and Technology of China
中國藥學暨中藥資源學系	Department of Chinese Pharmacy and Traditional Chinese Medicine Resources
中國語文學系	Department of Chinese Language and Literature
中國語文學系【外加】	Department of Chinese Language and Literature【Additional】
中國醫藥大學	China Medical University
中山醫學大學	Sun Yat-sen Medical University
中州科技大學	Zhongzhou University of Science and Technology
中臺科技大學	Central Taiwan University of Science and Technology
中華大學	Chung Hua University
中華文化與傳播學系	Department of Chinese Culture and Communication
中華科技大學	University of Science and Technology of China
中華醫事科技大學	China University of Medical Science and Technology
中醫學系	Department of Traditional Chinese Medicine
中醫學系乙組	Group B, Department of Traditional Chinese Medicine
中醫學系甲組	Department of Traditional Chinese Medicine Group A
中餐廚藝系	Department of Chinese Cuisine
事業經營學系	Department of Business Administration
事業經營學系(乙組)	Department of Business Administration (Group B)
事業經營學系(甲組)	Department of Business Administration (Group A)
事業經營學系【外加】	Department of Business Administration【Additional】
事業與資訊經營學系	Department of Business and Information Management
事業與資訊經營學系(丙組)	Department of Business and Information Management (Group C)
事業與資訊經營學系(乙組)	Department of Business and Information Management (Group B)
事業與資訊經營學系(甲組)	Department of Business and Information Management (Group A)
互動設計系	Department of Interaction Design
互動設計系媒體設計組	Media Design Group, Department of Interactive Design
互動設計系視覺傳達設計組	Visual Communication Design Group, Department of Interactive Design
亞太工商管理學系	Department of Asia Pacific Business Administration
亞太工商管理學系企業管理組	Business Management Group, Department of Asia Pacific Business Administration
亞太工商管理學系工業管理組	Industrial Management Group, Department of Asia Pacific Business Administration
亞太建築空間與文物保存學士學位學程	Bachelor's Degree in Architectural Space and Heritage Conservation in Asia-Pacific
亞東技術學院	Yadong Technical College
亞東科技大學	Yadong University of Science and Technology
亞洲大學	Asia University
交通管理科學系	Department of Transportation Management Science
人力資源暨公共關係學系	Department of Human Resources and Public Relations
人力資源發展系	Department of Human Resources Development
人力資源發展系（燕巢校區）	Department of Human Resources Development (Yanchao Campus)
人力資源管理與發展系	Department of Human Resources Management and Development
人工智慧健康管理系	Department of Artificial Intelligence Health Management
人工智慧學士學位學程	Artificial Intelligence Bachelor's Degree Program
人工智慧學系	Department of Artificial Intelligence
人工智慧應用學系	Department of Artificial Intelligence Applied Studies
人工智慧應用學系(人工智慧與遊戲設計	Department of Applied Artificial Intelligence (Artificial Intelligence and Game Design
人工智慧應用學系(元宇宙應用創作組)	Department of Artificial Intelligence Applied Studies (Metaverse Application Creation Group)
人工智慧應用學系(桃園校區)	Department of Applied Artificial Intelligence (Taoyuan Campus)
人工智慧應用工程學士學位學程	Bachelor's Degree Program in Artificial Intelligence Applied Engineering
人工智慧應用工程系	Department of Artificial Intelligence Applied Engineering
人工智慧技術與應用學士學位學程	Bachelor's Degree Program in Artificial Intelligence Technology and Applications
人工智慧無人機科技系	Artificial Intelligence Drone Technology Department
人工智慧與資訊安全學士學位學程	Bachelor's Degree Program in Artificial Intelligence and Information Security
人文暨科技跨領域學士學位學程	Interdisciplinary Bachelor's Degree Program in Humanities and Technology
人文社會學系	Department of Humanities and Sociology
